name,locality,cuisines,rating,price_for_two,votes,city,source,price_band,primary_cuisine
Raymond Bakery,Geeta Colony,Bakery,0.0,400,0,New Delhi,kaggle,Mid (₹300-700),Bakery
"Cocktails & Dreams, Speakeasy",Sector 15,"American, Mexican, Italian",4.3,2500,1249,Gurgaon,kaggle,Luxury (>₹1500),American
Whisky Samba,Two Horizon Center,"Asian, Sushi, Seafood",4.2,3800,1321,Gurgaon,kaggle,Luxury (>₹1500),Asian
Dear Donna,Qutab Institutional Area,"Finger Food, American",3.4,3000,315,New Delhi,kaggle,Luxury (>₹1500),Finger Food
La Roca,Worldmark 1,"Italian, Asian, Continental, Japanese, European",4.5,2300,193,New Delhi,kaggle,Luxury (>₹1500),Italian
EXO Charlie,Shangri-La'S - Eros Hotel,Finger Food,4.4,2200,91,New Delhi,kaggle,Luxury (>₹1500),Finger Food
NovelÃ© New Delhi,Janpath,"Asian, European, Peruvian, Mediterranean",4.0,3700,159,New Delhi,kaggle,Luxury (>₹1500),Asian
Serai - Culinary Cocktail Bar,Mehrauli,"Cuisine Varies, Bar Food, Finger Food",3.9,3000,25,New Delhi,kaggle,Luxury (>₹1500),Cuisine Varies
Pandey's Paan,Connaught Place,Paan,4.5,100,344,New Delhi,kaggle,Budget (≤₹300),Paan
Yamu's Panchayat,Connaught Place,Paan,4.0,150,173,New Delhi,kaggle,Budget (≤₹300),Paan
Odeon Gupta Paan Palace,Connaught Place,Paan,4.0,200,173,New Delhi,kaggle,Budget (≤₹300),Paan
Banaaras,Cyber Hub,Paan,4.0,200,112,Gurgaon,kaggle,Budget (≤₹300),Paan
Banaaras,Ambience Mall,Paan,3.9,200,65,New Delhi,kaggle,Budget (≤₹300),Paan
Banaaras,Dlf Mall Of India,Paan,4.2,200,43,Noida,kaggle,Budget (≤₹300),Paan
Banaaras,One Horizon Center,Paan,3.8,200,47,Gurgaon,kaggle,Budget (≤₹300),Paan
Kings Paan,Safdarjung,Paan,3.6,100,31,New Delhi,kaggle,Budget (≤₹300),Paan
Paan Leela,Pitampura,"Paan, Beverages, Fast Food",3.5,200,49,New Delhi,kaggle,Budget (≤₹300),Paan
Saurav Paan,Janakpuri,"Paan, Desserts",3.5,250,34,New Delhi,kaggle,Budget (≤₹300),Paan
Panwaadi,Vijay Nagar,Paan,3.4,100,24,New Delhi,kaggle,Budget (≤₹300),Paan
Hori Lal Paan,Netaji Subhash Place,Paan,3.9,100,35,New Delhi,kaggle,Budget (≤₹300),Paan
Dil Khush Paan,Azadpur,"Paan, Beverages",3.5,150,16,New Delhi,kaggle,Budget (≤₹300),Paan
Banaaras,Dlf Promenade Mall,Paan,2.8,200,17,New Delhi,kaggle,Budget (≤₹300),Paan
Saurav Paan,Pitampura,Paan,3.0,100,16,New Delhi,kaggle,Budget (≤₹300),Paan
Lakhan Pan,Paschim Vihar,"Paan, Beverages",3.4,200,19,New Delhi,kaggle,Budget (≤₹300),Paan
Hori Lal Paan,Ashok Vihar Phase 3,Paan,3.7,100,19,New Delhi,kaggle,Budget (≤₹300),Paan
Hori Lal Paan,Sector 10,Paan,3.6,100,23,New Delhi,kaggle,Budget (≤₹300),Paan
Mr Panwadi,Sector 2,"Paan, Desserts, Beverages",3.3,200,24,New Delhi,kaggle,Budget (≤₹300),Paan
Saurav Paan,Vikaspuri,Paan,3.4,100,14,New Delhi,kaggle,Budget (≤₹300),Paan
Banaaras,Global Foyer Mall,Paan,3.6,200,12,Gurgaon,kaggle,Budget (≤₹300),Paan
Yamu's Panchayat,Paschim Vihar,Paan,3.3,100,15,New Delhi,kaggle,Budget (≤₹300),Paan
Mewa Pan Parlour,Dilshad Garden,Paan,3.2,100,11,New Delhi,kaggle,Budget (≤₹300),Paan
House Of Paan,Global Foyer,Paan,3.4,200,13,Gurgaon,kaggle,Budget (≤₹300),Paan
Mast Banarasi Paan,Sector 42,Paan,3.3,100,9,Faridabad,kaggle,Budget (≤₹300),Paan
S.K Paan Shop,Janakpuri,Paan,3.3,100,13,New Delhi,kaggle,Budget (≤₹300),Paan
Paan Talkâs,Pitampura,Paan,0.0,200,3,New Delhi,kaggle,Budget (≤₹300),Paan
Saurav Paan,Sector 5,"Paan, Beverages",3.4,100,7,New Delhi,kaggle,Budget (≤₹300),Paan
Panwaadi,Janakpuri,Paan,0.0,100,3,New Delhi,kaggle,Budget (≤₹300),Paan
Natural Pan,Shalimar Bagh,Paan,3.1,100,4,New Delhi,kaggle,Budget (≤₹300),Paan
Chaurasia Paan,Paschim Vihar,Paan,0.0,150,3,New Delhi,kaggle,Budget (≤₹300),Paan
Mast Banarsi Paan,Indirapuram,Paan,3.2,150,4,Ghaziabad,kaggle,Budget (≤₹300),Paan
Deluxe Paan,Sector 10,"Beverages, Paan",0.0,250,2,New Delhi,kaggle,Budget (≤₹300),Beverages
Panwaadi,Sector 37,Paan,3.2,100,6,Noida,kaggle,Budget (≤₹300),Paan
Sapphire Pan,Model Town 2,Paan,3.1,100,4,New Delhi,kaggle,Budget (≤₹300),Paan
RJ Brothers Paan,Model Town 1,Paan,0.0,150,2,New Delhi,kaggle,Budget (≤₹300),Paan
Banaaras,Ardee Mall,Paan,3.7,200,3,Gurgaon,kaggle,Budget (≤₹300),Paan
KWALITY PAN,Rohini,Paan,0.0,150,3,New Delhi,kaggle,Budget (≤₹300),Paan
Chaurasia Flavour Paan Shop,Uttam Nagar,Paan,0.0,100,3,New Delhi,kaggle,Budget (≤₹300),Paan
Paan House,Lajpat Nagar 1,Paan,0.0,150,1,New Delhi,kaggle,Budget (≤₹300),Paan
Panwaadi,Pitampura,Paan,0.0,100,3,New Delhi,kaggle,Budget (≤₹300),Paan
A One Paan,Aggarwal City Plaza,Paan,0.0,100,1,New Delhi,kaggle,Budget (≤₹300),Paan
Vilayti Paan Bhandar,Uttam Nagar,Paan,0.0,100,1,New Delhi,kaggle,Budget (≤₹300),Paan
Natural Pan,Vijay Nagar,Paan,0.0,150,2,New Delhi,kaggle,Budget (≤₹300),Paan
Harish Pan Corner,Rohini,"Chinese, Fast Food, Paan",0.0,350,1,New Delhi,kaggle,Mid (₹300-700),Chinese
Standard Pan,Krishna Nagar,Paan,0.0,50,2,New Delhi,kaggle,Budget (≤₹300),Paan
Flavoured Paan Shop,Sector 61,Paan,0.0,100,0,Noida,kaggle,Budget (≤₹300),Paan
Kesari Pan Bhandar,Tilak Nagar,Paan,0.0,200,1,New Delhi,kaggle,Budget (≤₹300),Paan
Gulab Pan Palace,Sector 12,Paan,0.0,100,1,New Delhi,kaggle,Budget (≤₹300),Paan
Flavours Paan,Sector 72,Paan,0.0,100,1,Noida,kaggle,Budget (≤₹300),Paan
Sata Paan,Janakpuri,Paan,0.0,50,1,New Delhi,kaggle,Budget (≤₹300),Paan
Zero Point Paan,Naraina,Paan,0.0,100,0,New Delhi,kaggle,Budget (≤₹300),Paan
Story Shisha,Pitampura,Paan,0.0,150,0,New Delhi,kaggle,Budget (≤₹300),Paan
Bharti Paan House,Naraina,Paan,0.0,100,0,New Delhi,kaggle,Budget (≤₹300),Paan
Panwaadi,Crossing Republik,Paan,0.0,100,0,Ghaziabad,kaggle,Budget (≤₹300),Paan
Ishu Paan,Sector 72,Paan,0.0,100,0,Noida,kaggle,Budget (≤₹300),Paan
Chaurasia's Paan,Uttam Nagar,Paan,0.0,300,0,New Delhi,kaggle,Budget (≤₹300),Paan
Chaurasia Paan,Uttam Nagar,"Paan, Beverages",0.0,200,0,New Delhi,kaggle,Budget (≤₹300),Paan
Chaursia   Pan,Vijay Nagar,Paan,0.0,100,0,New Delhi,kaggle,Budget (≤₹300),Paan
Shiva Paan,Rohini,Paan,0.0,100,0,New Delhi,kaggle,Budget (≤₹300),Paan
Bablu Paan,Punjabi Bagh,Paan,3.1,0,0,New Delhi,kaggle,Budget (≤₹300),Paan
SodaBottleOpenerWala,Khan Market,"Parsi, North Indian",4.3,1700,2853,New Delhi,kaggle,Luxury (>₹1500),Parsi
Sonu Shudh Bhojanalya,Mayur Vihar Phase 3,North Indian,3.6,300,53,New Delhi,kaggle,Budget (≤₹300),North Indian
Saini Sudh Bhojanalya,Nit,North Indian,2.3,350,31,Faridabad,kaggle,Mid (₹300-700),North Indian
Maa Vaishno Shudh Shakahari Bhojnalaya,Raj Nagar,North Indian,3.5,200,26,Ghaziabad,kaggle,Budget (≤₹300),North Indian
Rathore Bhojanalya,Sector 72,North Indian,3.2,100,3,Noida,kaggle,Budget (≤₹300),North Indian
Pandit Bhojnalya,Shahdara,"North Indian, Street Food",3.4,200,13,New Delhi,kaggle,Budget (≤₹300),North Indian
Chinar Bhojnalay,Udyog Vihar,"North Indian, South Indian",2.9,500,10,Gurgaon,kaggle,Mid (₹300-700),North Indian
Sharma Vaishno Bhojanalya,Kavi Nagar,North Indian,3.2,250,8,Ghaziabad,kaggle,Budget (≤₹300),North Indian
Manakamana Bhojanalya,Sector 34,North Indian,3.1,250,6,Noida,kaggle,Budget (≤₹300),North Indian
Maa Vaishno Bhojnalaya,Vasundhara Enclave,North Indian,0.0,250,2,New Delhi,kaggle,Budget (≤₹300),North Indian
Anand Bhojnalya,Udyog Vihar,North Indian,0.0,200,3,Gurgaon,kaggle,Budget (≤₹300),North Indian
Ratan Sudh Bhojanalya,Raj Nagar,North Indian,3.1,300,4,Ghaziabad,kaggle,Budget (≤₹300),North Indian
Rittik Bhojnalaya,Mukherjee Nagar,North Indian,0.0,200,0,New Delhi,kaggle,Budget (≤₹300),North Indian
Om Bhojnalya,Malviya Nagar,North Indian,3.0,200,4,New Delhi,kaggle,Budget (≤₹300),North Indian
Yadav Hotel,Nit,North Indian,0.0,150,3,Faridabad,kaggle,Budget (≤₹300),North Indian
Punjabi Dhaba,Nit,North Indian,0.0,100,3,Faridabad,kaggle,Budget (≤₹300),North Indian
Laxmi Vaishnav Bhojanalya,Yusuf Sarai,North Indian,0.0,250,1,New Delhi,kaggle,Budget (≤₹300),North Indian
Aggrawal Shudh Bhojnalay,Rohini,North Indian,0.0,200,1,New Delhi,kaggle,Budget (≤₹300),North Indian
Sangam Shudh Bhojanalya,Crossing Republik,North Indian,0.0,250,1,Ghaziabad,kaggle,Budget (≤₹300),North Indian
Radha Swami Shudh Bhojnalya,Kapashera,North Indian,0.0,150,1,New Delhi,kaggle,Budget (≤₹300),North Indian
Anand Bhojnalay,Sector 17,North Indian,0.0,400,1,Gurgaon,kaggle,Mid (₹300-700),North Indian
Shree Ram Bhojnalaya,Mukherjee Nagar,North Indian,0.0,300,1,New Delhi,kaggle,Budget (≤₹300),North Indian
Om Ji Bhojnalya,Shahdara,North Indian,0.0,100,1,New Delhi,kaggle,Budget (≤₹300),North Indian
Annapurna Restaurant,Krishna Nagar,"North Indian, South Indian, Chinese",0.0,250,1,New Delhi,kaggle,Budget (≤₹300),North Indian
Himalayan Cafe & Kichen,Munirka,"Chinese, North Indian",0.0,350,1,New Delhi,kaggle,Mid (₹300-700),Chinese
Baba Bateshwer Hotel,Badarpur Border,North Indian,0.0,400,1,Faridabad,kaggle,Mid (₹300-700),North Indian
Chowdhary Bhojnalya,Govind Puram,North Indian,0.0,250,0,Ghaziabad,kaggle,Budget (≤₹300),North Indian
