name,locality,cuisines,rating,price_for_two,votes,city,source,price_band,primary_cuisine
Cafe Amaretto,South Point Mall,"Cafe, Italian, Bakery, Desserts, Healthy Food, Salad",4.2,1400,883,Gurgaon,kaggle,Premium (₹700-1500),Cafe
Theobroma,Connaught Place,"Bakery, Cafe",4.3,750,766,New Delhi,kaggle,Premium (₹700-1500),Bakery
Mr. Brown,Kaushambi,"Bakery, Desserts, Fast Food",4.1,500,836,Ghaziabad,kaggle,Mid (₹300-700),Bakery
Slice of Italy,Janakpuri,"Pizza, Italian, Salad, Bakery, Sandwich, Beverages",3.7,500,831,New Delhi,kaggle,Mid (₹300-700),Pizza
Slice of Italy,Shahpur Jat,"Pizza, Italian, Salad, Bakery, Sandwich, Beverages",3.8,500,824,New Delhi,kaggle,Mid (₹300-700),Pizza
Dukes Patisserie & Boulangerie,Rajinder Nagar,Bakery,4.0,400,727,New Delhi,kaggle,Mid (₹300-700),Bakery
Sugarama Patisserie,Shahpur Jat,"Bakery, Desserts",4.3,300,729,New Delhi,kaggle,Budget (≤₹300),Bakery
The Bombaykery,Cyber Hub,"Bakery, Desserts",4.3,300,705,Gurgaon,kaggle,Budget (≤₹300),Bakery
Slice Of Italy,Sector 51,"Pizza, Italian, Salad, Bakery, Sandwich, Beverages",3.7,500,862,Noida,kaggle,Mid (₹300-700),Pizza
Madison & Pike,Nirvana Courtyard,"Cafe, Continental, American, Bakery",4.1,1100,697,Gurgaon,kaggle,Premium (₹700-1500),Cafe
The Sweeet Jar,Karkardooma,"Cafe, Bakery, Chinese, Italian",4.2,800,646,New Delhi,kaggle,Premium (₹700-1500),Cafe
The Cake Company,Dlf Phase 1,Bakery,4.6,500,672,Gurgaon,kaggle,Mid (₹300-700),Bakery
Fat Butterfly Bakery And Cafe,Baani Square,"Bakery, Cafe",4.2,1200,674,Gurgaon,kaggle,Premium (₹700-1500),Bakery
Slice of Italy,Meharchand Market,"Pizza, Italian, Salad, Bakery, Sandwich, Beverages",4.0,500,734,New Delhi,kaggle,Mid (₹300-700),Pizza
Otik Cake Shop,Rajouri Garden,"Bakery, Desserts, Fast Food",4.0,450,598,New Delhi,kaggle,Mid (₹300-700),Bakery
Theobroma,Dlf Mall Of India,"Bakery, Cafe",4.3,750,629,Noida,kaggle,Premium (₹700-1500),Bakery
The CUPnCAKE Factory,Ninex City Mart Mall,"Bakery, Desserts",4.0,300,630,Gurgaon,kaggle,Budget (≤₹300),Bakery
Donald's Pastry Shop,Sector 18,Bakery,3.9,300,597,Noida,kaggle,Budget (≤₹300),Bakery
Bisque Bakery,Central Arcade,"Bakery, Fast Food",4.0,500,594,Gurgaon,kaggle,Mid (₹300-700),Bakery
Mr. Crust Bakers,Ashok Vihar Phase 1,"Bakery, Desserts, Fast Food",4.2,450,520,New Delhi,kaggle,Mid (₹300-700),Bakery
Angels in my Kitchen,Defence Colony Main Market,"Bakery, Desserts, Fast Food",3.9,350,608,New Delhi,kaggle,Mid (₹300-700),Bakery
SugarLicious,Rodeo Drive,"Bakery, Coffee, Fast Food, Desserts, Sandwich, Ice Cream",4.3,600,532,Gurgaon,kaggle,Mid (₹300-700),Bakery
Theobroma,Select Citywalk Mall,"Bakery, Cafe",4.3,750,534,New Delhi,kaggle,Premium (₹700-1500),Bakery
The Cakecity Patisserie,Dlf Galleria,"Bakery, Desserts",4.4,400,569,Gurgaon,kaggle,Mid (₹300-700),Bakery
Donald's Pastry Shop,Raj Nagar,Bakery,4.1,300,502,Ghaziabad,kaggle,Budget (≤₹300),Bakery
Elma's Brasserie,Meharchand Market,"American, Continental, Italian, Bakery",3.9,2000,562,New Delhi,kaggle,Luxury (>₹1500),American
Top Breads,Sector 18,"Bakery, Fast Food",3.5,200,559,Noida,kaggle,Budget (≤₹300),Bakery
Theobroma,Dlf Galleria,"Bakery, Cafe",4.3,750,502,Gurgaon,kaggle,Premium (₹700-1500),Bakery
Beyond Breads,Dlf Phase 1,"Bakery, Desserts",4.4,500,503,Gurgaon,kaggle,Mid (₹300-700),Bakery
Bake Hub,Paschim Vihar,"Bakery, Fast Food, Momos",3.9,500,504,New Delhi,kaggle,Mid (₹300-700),Bakery
Harish Bakery,Old Railway Road,"North Indian, South Indian, Fast Food",3.9,350,458,Gurgaon,kaggle,Mid (₹300-700),North Indian
Godavari Bakery,Vikaspuri,"Bakery, Fast Food",3.9,300,511,New Delhi,kaggle,Budget (≤₹300),Bakery
Theobroma,Punjabi Bagh,"Bakery, Cafe",4.2,750,417,New Delhi,kaggle,Premium (₹700-1500),Bakery
Binge,Sohna Road,"Cafe, Bakery, Desserts, Salad",4.0,400,450,Gurgaon,kaggle,Mid (₹300-700),Cafe
Tasty Tweets,Sector 31,Bakery,4.3,450,463,Gurgaon,kaggle,Mid (₹300-700),Bakery
Bread Talk,Select Citywalk Mall,"Bakery, Fast Food, Sandwich, Desserts",4.2,400,363,New Delhi,kaggle,Mid (₹300-700),Bakery
Sibang Bakery,South Point Mall,"Bakery, Desserts, Beverages",4.2,500,439,Gurgaon,kaggle,Mid (₹300-700),Bakery
The Chocolate Villa,Crescent Square Mall,"Bakery, Fast Food, Desserts, Beverages",3.9,450,458,New Delhi,kaggle,Mid (₹300-700),Bakery
Pink Box,Hauz Khas,"Bakery, Desserts",4.2,300,457,New Delhi,kaggle,Budget (≤₹300),Bakery
Manohar Bikkaneri,Kamla Nagar,"Mithai, Bakery, Fast Food, Beverages",4.1,200,425,New Delhi,kaggle,Budget (≤₹300),Mithai
Gaurav Pastry Palace,Rohini,"Bakery, Fast Food",4.0,200,389,New Delhi,kaggle,Budget (≤₹300),Bakery
Open Oven,Greater Kailash 2 (Gk2),"Bakery, Desserts, Fast Food, Rolls",3.8,250,437,New Delhi,kaggle,Budget (≤₹300),Bakery
Honey & Dough,City Centre Mall,"Bakery, Desserts, Cafe, Fast Food",4.4,1100,322,New Delhi,kaggle,Premium (₹700-1500),Bakery
Theobroma,Defence Colony Main Market,"Bakery, Cafe",4.3,750,416,New Delhi,kaggle,Premium (₹700-1500),Bakery
Sehgal Pastry Shop,Krishna Nagar,"Bakery, Fast Food, Momos",4.1,200,400,New Delhi,kaggle,Budget (≤₹300),Bakery
Brothers' Bakery,Tilak Nagar,"Desserts, Beverages",4.0,350,478,New Delhi,kaggle,Mid (₹300-700),Desserts
The Cake Point,Punjabi Bagh,"Bakery, Fast Food, Chinese, Momos",3.9,500,424,New Delhi,kaggle,Mid (₹300-700),Bakery
Bakers Oven,Sector 31,"Bakery, Desserts, Beverages",4.1,600,376,Gurgaon,kaggle,Mid (₹300-700),Bakery
Master's Cakes And Sweets,Ashok Vihar Phase 1,"Bakery, Fast Food",3.9,350,434,New Delhi,kaggle,Mid (₹300-700),Bakery
Brioche DorÃ©e,Connaught Place,"Cafe, Bakery, French",4.2,600,300,New Delhi,kaggle,Mid (₹300-700),Cafe
Raro,Defence Colony Main Market,"Cafe, Bakery",3.9,800,421,New Delhi,kaggle,Premium (₹700-1500),Cafe
Demould,Rohini,"Bakery, Desserts",4.2,400,377,New Delhi,kaggle,Mid (₹300-700),Bakery
Unique Pastry Shop,Ip Extension,"Bakery, Fast Food",4.1,400,357,New Delhi,kaggle,Mid (₹300-700),Bakery
Cravity,Hauz Khas,"Cafe, Bakery",4.3,1200,379,New Delhi,kaggle,Premium (₹700-1500),Cafe
Golden Fiesta,Central Market,"Fast Food, Desserts, Beverages, Bakery",4.0,550,397,New Delhi,kaggle,Mid (₹300-700),Fast Food
Bread & More,Greater Kailash 1 (Gk1),"Bakery, Desserts, Continental",3.9,600,357,New Delhi,kaggle,Mid (₹300-700),Bakery
Bakington,Janakpuri,"Bakery, Desserts, Fast Food",3.9,500,377,New Delhi,kaggle,Mid (₹300-700),Bakery
Bake Bun Bikis,Rohini,"Bakery, Fast Food",4.0,500,378,New Delhi,kaggle,Mid (₹300-700),Bakery
L'OpÃ©ra,Hauz Khas,"Bakery, Desserts",4.0,650,393,New Delhi,kaggle,Mid (₹300-700),Bakery
Kream's,Vikaspuri,"Bakery, Fast Food",3.9,200,390,New Delhi,kaggle,Budget (≤₹300),Bakery
Bakingo,Sector 14,"Bakery, Desserts",4.0,300,392,Gurgaon,kaggle,Budget (≤₹300),Bakery
Big Bake,Pitampura,"North Indian, Chinese, Fast Food, Bakery",3.9,650,386,New Delhi,kaggle,Mid (₹300-700),North Indian
Angels in my Kitchen,Vasant Kunj,"Bakery, Desserts, Fast Food",4.0,350,417,New Delhi,kaggle,Mid (₹300-700),Bakery
Sprinkles Bakery & More,Sector 14,"Bakery, Desserts, Italian, Fast Food",4.0,600,360,Faridabad,kaggle,Mid (₹300-700),Bakery
Cake Palace,South Extension 2,"Bakery, Fast Food",3.9,300,330,New Delhi,kaggle,Budget (≤₹300),Bakery
Mi Amor Restaurant N Bakery,Raj Nagar,"Fast Food, Mexican, Italian, Pizza, Bakery, Lebanese, Thai, North Indian",3.8,800,365,Ghaziabad,kaggle,Premium (₹700-1500),Fast Food
Binge,Kailash Colony,"Cafe, Bakery, Desserts",4.2,450,343,New Delhi,kaggle,Mid (₹300-700),Cafe
Soni Bakers,Rajouri Garden,"Bakery, Fast Food, Street Food, Chinese, Momos",3.9,450,355,New Delhi,kaggle,Mid (₹300-700),Bakery
Slice of Italy,Sector 12,"Pizza, Italian, Salad, Bakery, Sandwich, Beverages",3.8,500,515,New Delhi,kaggle,Mid (₹300-700),Pizza
The Artful Baker,Khan Market,"Bakery, Fast Food",4.0,600,361,New Delhi,kaggle,Mid (₹300-700),Bakery
Pastry Palace,Vikaspuri,"Bakery, Fast Food",3.9,150,319,New Delhi,kaggle,Budget (≤₹300),Bakery
Hira Sweets,Indirapuram Habitat Centre,"Mithai, North Indian, South Indian, Fast Food",4.0,450,696,Ghaziabad,kaggle,Mid (₹300-700),Mithai
Om Sweets & Snacks,Sector 4,"Bakery, Mithai, North Indian, Chinese, Street Food",4.2,400,782,Gurgaon,kaggle,Mid (₹300-700),Bakery
Haldiram's,Chandni Chowk,"North Indian, South Indian, Street Food, Fast Food, Chinese, Mithai",4.0,600,852,New Delhi,kaggle,Mid (₹300-700),North Indian
Haldiram's,Parsavnath City Mall,"North Indian, South Indian, Street Food, Fast Food, Mithai, Desserts",4.0,450,779,Faridabad,kaggle,Mid (₹300-700),North Indian
Haldiram's,Spice World Mall,"Mithai, Street Food, Fast Food, North Indian, South Indian",4.0,600,772,Noida,kaggle,Mid (₹300-700),Mithai
Shree Bhagatram,Vasant Square Mall,"North Indian, Chinese, South Indian, Mithai, Momos",3.7,650,803,New Delhi,kaggle,Mid (₹300-700),North Indian
Old Famous Jalebi Wala,Chandni Chowk,"Mithai, Street Food",4.0,100,1240,New Delhi,kaggle,Budget (≤₹300),Mithai
Om Sweets & Snacks,Sector 8,"North Indian, South Indian, Street Food, Mithai",4.3,500,784,Gurgaon,kaggle,Mid (₹300-700),North Indian
Haldiram's,Unity One Mall,"North Indian, Mithai, South Indian, Street Food, Chinese, Fast Food, Desserts",4.1,500,686,New Delhi,kaggle,Mid (₹300-700),North Indian
Bikanervala,Greater Kailash 2 (Gk2),"Mithai, Street Food, South Indian, North Indian, Chinese",3.9,600,711,New Delhi,kaggle,Mid (₹300-700),Mithai
Haldiram's,D Mall,"North Indian, Mithai, South Indian, Street Food, Fast Food, Chinese, Desserts",4.0,550,732,New Delhi,kaggle,Mid (₹300-700),North Indian
Bikanervala,Central Market,"Mithai, Street Food, South Indian, North Indian, Chinese",4.0,600,671,New Delhi,kaggle,Mid (₹300-700),Mithai
Haldiram's,Moti Nagar,"Mithai, Street Food, Fast Food, North Indian, South Indian",4.0,600,683,New Delhi,kaggle,Mid (₹300-700),Mithai
Harish Phulwari,Sector 56,"North Indian, South Indian, Fast Food",3.8,500,622,Gurgaon,kaggle,Mid (₹300-700),North Indian
Hira Sweets,Janakpuri,"Mithai, North Indian, South Indian, Fast Food, Chinese",3.9,450,628,New Delhi,kaggle,Mid (₹300-700),Mithai
Bikanervala,Rohini,"Mithai, Street Food, South Indian, North Indian, Chinese",3.8,600,659,New Delhi,kaggle,Mid (₹300-700),Mithai
Haldiram's,City Centre Mall,"North Indian, Mithai, Street Food, South Indian",4.0,550,609,New Delhi,kaggle,Mid (₹300-700),North Indian
Shri Ram Dhaba,Sohna Road,"North Indian, Street Food, Mithai",3.9,400,585,Gurgaon,kaggle,Mid (₹300-700),North Indian
Bikanervala,Sahibabad,"Mithai, Street Food, South Indian, North Indian, Chinese",3.8,600,597,Ghaziabad,kaggle,Mid (₹300-700),Mithai
Haldiram's,Malviya Nagar,"Street Food, North Indian, South Indian, Chinese, Mithai",4.2,400,551,New Delhi,kaggle,Mid (₹300-700),Street Food
Nathu's Sweets,Bengali Market,"North Indian, Chinese, South Indian, Street Food, Pizza, Desserts, Mithai",3.5,600,693,New Delhi,kaggle,Mid (₹300-700),North Indian
BTW,Aggarwal City Plaza,"Mithai, South Indian, Fast Food, North Indian",4.0,400,676,New Delhi,kaggle,Mid (₹300-700),Mithai
Haldiram's,Dilshad Garden,"North Indian, South Indian, Chinese, Street Food, Fast Food, Mithai, Desserts",3.9,600,532,New Delhi,kaggle,Mid (₹300-700),North Indian
Kali Ghata,Uttam Nagar,"Mithai, Desserts",3.9,200,626,New Delhi,kaggle,Budget (≤₹300),Mithai
Bikanervala,Raj Nagar,"Mithai, Street Food, South Indian, North Indian, Chinese",3.9,600,576,Ghaziabad,kaggle,Mid (₹300-700),Mithai
BTW,Kirti Nagar,"Street Food, South Indian, North Indian, Mithai, Beverages",4.2,400,649,New Delhi,kaggle,Mid (₹300-700),Street Food
Haldiram's,Omaxe City Centre,"Mithai, Street Food, Fast Food, North Indian, South Indian",3.9,600,583,Gurgaon,kaggle,Mid (₹300-700),Mithai
Haldiram's,Cyber Hub,"North Indian, Mithai, South Indian, Street Food, Chinese, Desserts",4.0,450,564,Gurgaon,kaggle,Mid (₹300-700),North Indian
Om Sweets & Snacks,Sector 45,"North Indian, Mithai, Fast Food, South Indian, Chinese",4.2,500,695,Gurgaon,kaggle,Mid (₹300-700),North Indian
Mithaas,Sector 72,"Mithai, North Indian, South Indian, Street Food, Chinese",3.8,400,539,Noida,kaggle,Mid (₹300-700),Mithai
Adyar Ananda Bhavan,Green Park,"South Indian, North Indian, Chinese, Mithai",3.8,500,578,New Delhi,kaggle,Mid (₹300-700),South Indian
Bikanervala,Dilshad Garden,"Mithai, Street Food, South Indian, North Indian, Chinese",3.8,600,495,New Delhi,kaggle,Mid (₹300-700),Mithai
Bhimsain's Bengali Sweet House,Bengali Market,"North Indian, South Indian, Chinese, Street Food, Mithai",3.7,400,614,New Delhi,kaggle,Mid (₹300-700),North Indian
Bikanervala,Jaipuria Sunrise Plaza,"Mithai, Street Food, South Indian, North Indian, Chinese",3.6,600,505,Ghaziabad,kaggle,Mid (₹300-700),Mithai
Haldiram's,Shipra Mall,"North Indian, South Indian, Chinese, Street Food, Fast Food, Mithai, Desserts",3.9,600,510,Ghaziabad,kaggle,Mid (₹300-700),North Indian
Milan Sweet House,Sector 10,"North Indian, Fast Food, South Indian, Chinese, Mithai",3.9,500,516,Faridabad,kaggle,Mid (₹300-700),North Indian
Sona Mithai Wala,Anand Vihar,"Mithai, Street Food, Fast Food",4.2,150,677,New Delhi,kaggle,Budget (≤₹300),Mithai
Bikanervala,Punjabi Bagh,"Mithai, Street Food, South Indian, North Indian, Chinese",3.9,600,458,New Delhi,kaggle,Mid (₹300-700),Mithai
Bikanervala,Saket,"Mithai, Street Food, South Indian, North Indian, Chinese",3.8,600,417,New Delhi,kaggle,Mid (₹300-700),Mithai
BTW,Indirapuram,"Mithai, North Indian, South Indian, Street Food",4.0,400,474,Ghaziabad,kaggle,Mid (₹300-700),Mithai
Shyam Sweets,Chawri Bazar,"Mithai, Street Food",4.2,150,488,New Delhi,kaggle,Budget (≤₹300),Mithai
Om Sweets & Snacks,Hong Kong Bazaar Mall,"North Indian, South Indian, Street Food, Mithai",4.0,500,494,Gurgaon,kaggle,Mid (₹300-700),North Indian
Haldiram's,Sarita Vihar,"Mithai, Street Food, Fast Food, North Indian, South Indian",3.9,600,412,New Delhi,kaggle,Mid (₹300-700),Mithai
Laddoo Gopal Sweets & Restaurant,Shahdara,"North Indian, Chinese, South Indian, Mithai, Street Food",3.8,400,441,New Delhi,kaggle,Mid (₹300-700),North Indian
Bikanervala,Connaught Place,"Mithai, Street Food, South Indian, North Indian, Chinese",3.8,600,416,New Delhi,kaggle,Mid (₹300-700),Mithai
Haldiram's,Pandav Nagar,"Mithai, Street Food, Fast Food, North Indian, South Indian",4.0,600,392,New Delhi,kaggle,Mid (₹300-700),Mithai
Sargam Sweets,Uttam Nagar,"Mithai, Chinese, South Indian",3.4,400,580,New Delhi,kaggle,Mid (₹300-700),Mithai
Mangal Sweets,Ip Extension,"Mithai, North Indian, South Indian, Chinese, Street Food",3.8,400,495,New Delhi,kaggle,Mid (₹300-700),Mithai
Rewari Sweets,Sadar Bazar,"Mithai, Street Food",3.9,250,403,Gurgaon,kaggle,Budget (≤₹300),Mithai
Gulab,Sector 14,"North Indian, Chinese, Street Food, Mithai",3.7,300,406,Gurgaon,kaggle,Budget (≤₹300),North Indian
Sona Sweets Sri Udipi Restaurant,Nehru Place,"North Indian, South Indian, Street Food, Mithai",3.9,400,425,New Delhi,kaggle,Mid (₹300-700),North Indian
Haldiram's,Tilak Nagar,"North Indian, South Indian, Chinese, Street Food, Fast Food, Mithai, Desserts",3.9,600,399,New Delhi,kaggle,Mid (₹300-700),North Indian
Haldiram's,Dlf South Square,"North Indian, South Indian, Chinese, Street Food, Fast Food, Mithai, Desserts",3.9,400,422,New Delhi,kaggle,Mid (₹300-700),North Indian
Bikanervala,Preet Vihar,"Mithai, Street Food, South Indian, North Indian, Chinese",4.0,600,358,New Delhi,kaggle,Mid (₹300-700),Mithai
Hira Sweets,Connaught Place,"Mithai, North Indian, South Indian",3.8,450,416,New Delhi,kaggle,Mid (₹300-700),Mithai
Bangla Sweets,Kirti Nagar,"Mithai, North Indian, South Indian, Chinese",3.8,450,408,New Delhi,kaggle,Mid (₹300-700),Mithai
Anupam Sweet,Sector 15,"North Indian, South Indian, Fast Food, Mithai",3.9,400,496,Faridabad,kaggle,Mid (₹300-700),North Indian
Bikanervala,Sector 62,"Mithai, Street Food, South Indian, North Indian, Chinese",3.9,600,275,Noida,kaggle,Mid (₹300-700),Mithai
Bangla Sweet House,Gole Market,"Mithai, Street Food",4.0,200,384,New Delhi,kaggle,Budget (≤₹300),Mithai
Haldiram's,Arss Mall,"North Indian, South Indian, Chinese, Fast Food, Mithai",3.8,500,394,New Delhi,kaggle,Mid (₹300-700),North Indian
Hira Sweets,Raj Nagar,"Mithai, North Indian, South Indian, Fast Food",3.9,500,323,Ghaziabad,kaggle,Mid (₹300-700),Mithai
Bikanervala,Sector 20,"Mithai, Street Food, South Indian, North Indian, Chinese",3.8,600,322,Faridabad,kaggle,Mid (₹300-700),Mithai
Nathu's Sweets,Sunder Nagar,"North Indian, South Indian, Chinese, Street Food, Fast Food, Mithai, Desserts",3.8,600,385,New Delhi,kaggle,Mid (₹300-700),North Indian
Mithaas,Crossing Republik,"Mithai, North Indian, South Indian, Street Food, Chinese",3.9,400,441,Ghaziabad,kaggle,Mid (₹300-700),Mithai
Bikanervala,Naraina,"Mithai, Street Food, South Indian, North Indian, Chinese",3.7,600,355,New Delhi,kaggle,Mid (₹300-700),Mithai
Haldiram's,Mgf Metropolitan Mall,"Mithai, Street Food, North Indian, South Indian, Chinese, Desserts",3.9,600,353,Gurgaon,kaggle,Mid (₹300-700),Mithai
Ramesh Dhaba & Chinar Sweets,Udyog Vihar,"North Indian, Mithai",3.2,200,519,Gurgaon,kaggle,Budget (≤₹300),North Indian
Aggarwal Bikaneri Sweets,Sector 18,"South Indian, Chinese, Street Food, Mithai",3.7,400,438,Noida,kaggle,Mid (₹300-700),South Indian
Om Sweets & Snacks,Sector 37,"Mithai, North Indian, South Indian, Chinese, Fast Food",4.1,500,419,Gurgaon,kaggle,Mid (₹300-700),Mithai
Gulab,Sector 110,"North Indian, Chinese, Street Food, Mithai",4.4,300,233,Noida,kaggle,Budget (≤₹300),North Indian
Nandan Sweets,Sector 15,"North Indian, Chinese, South Indian, Mithai",3.6,400,461,Gurgaon,kaggle,Mid (₹300-700),North Indian
The Big Chill Cafe,The Colonnade,Cafe,4.5,1500,652,New Delhi,kaggle,Premium (₹700-1500),Cafe
Big Chill,Dlf Promenade Mall,Cafe,4.5,1500,2335,New Delhi,kaggle,Premium (₹700-1500),Cafe
Rose Cafe,Saket,"Cafe, Italian, Lebanese, Continental, Mediterranean, Salad",4.1,1000,3047,New Delhi,kaggle,Premium (₹700-1500),Cafe
Cha Bar,Connaught Place,Cafe,4.0,500,5080,New Delhi,kaggle,Mid (₹300-700),Cafe
Big Yellow Door,Delhi University-Gtb Nagar,"Cafe, Italian, Fast Food",4.3,700,2299,New Delhi,kaggle,Mid (₹300-700),Cafe
Uncle's Sip & Bite,Prashant Vihar,Cafe,4.3,300,1549,New Delhi,kaggle,Budget (≤₹300),Cafe
Ricos,Delhi University-Gtb Nagar,"Cafe, Continental, American, Italian, Mexican",4.3,900,5987,New Delhi,kaggle,Premium (₹700-1500),Cafe
Big Yellow Door,Satyaniketan,"Cafe, Italian, Fast Food",4.2,700,5015,New Delhi,kaggle,Mid (₹300-700),Cafe
Wood Box Cafe,Delhi University-Gtb Nagar,"Cafe, Italian, Chinese, Beverages",4.2,750,2072,New Delhi,kaggle,Premium (₹700-1500),Cafe
Nukkad Cafe & Bar,Sda Market,"Cafe, Chinese, North Indian, Italian",4.0,1200,971,New Delhi,kaggle,Premium (₹700-1500),Cafe
Cafe Delhi Heights,Cross Point Mall,"Asian, Modern Indian, Continental, Cafe, Momos",4.0,2000,1879,Gurgaon,kaggle,Luxury (>₹1500),Asian
Echoes Satyaniketan,Satyaniketan,"Cafe, American, Chinese, Continental, North Indian, Italian",4.5,700,2990,New Delhi,kaggle,Mid (₹300-700),Cafe
Big Chill,Kailash Colony,Cafe,4.5,1500,2356,New Delhi,kaggle,Premium (₹700-1500),Cafe
Nowhere Terrace Brewpub Cafe,Cross Point Mall,"Cafe, European, Asian, North Indian, Chinese, Italian, Continental",4.1,1600,1298,Gurgaon,kaggle,Luxury (>₹1500),Cafe
The Big Chill,Dlf Mall Of India,Cafe,4.4,1500,1513,Noida,kaggle,Premium (₹700-1500),Cafe
The Reader's Cafe,Indirapuram Habitat Centre,Cafe,4.5,1000,1790,Ghaziabad,kaggle,Premium (₹700-1500),Cafe
IHOP,Cyber Hub,"Cafe, American, Desserts",4.1,1800,2115,Gurgaon,kaggle,Luxury (>₹1500),Cafe
Spezia Bistro,Delhi University-Gtb Nagar,"Cafe, Continental, Chinese, Italian, Momos",4.7,900,3484,New Delhi,kaggle,Premium (₹700-1500),Cafe
Caffe Tonino,Connaught Place,"Cafe, Italian",4.2,1500,2603,New Delhi,kaggle,Premium (₹700-1500),Cafe
Di Ghent Cafe,Cross Point Mall,"Cafe, Belgian",4.3,1700,2400,Gurgaon,kaggle,Luxury (>₹1500),Cafe
Cantino,Delhi University-Gtb Nagar,"Cafe, North Indian, Chinese, Continental",4.2,850,1220,New Delhi,kaggle,Premium (₹700-1500),Cafe
Cafe Delhi Heights,Pacific Mall,"Asian, Modern Indian, Continental, Cafe",4.2,2000,996,New Delhi,kaggle,Luxury (>₹1500),Asian
Wood Box Cafe,Satyaniketan,"Cafe, Fast Food, Italian, Chinese, Salad, Momos",4.2,850,2341,New Delhi,kaggle,Premium (₹700-1500),Cafe
Cafeteria & Co.,Satyaniketan,"Continental, Mexican, Fast Food",4.4,900,2307,New Delhi,kaggle,Premium (₹700-1500),Continental
Smoke House Deli,Khan Market,"Italian, European, Cafe, American, Salad, Juices, Burger, Healthy Food",4.2,1650,2070,New Delhi,kaggle,Luxury (>₹1500),Italian
Another Fine Day,Golf Course Road,"Cafe, Mediterranean, Continental, Salad",4.2,800,954,Gurgaon,kaggle,Premium (₹700-1500),Cafe
Cafe Di Milano,Sector 13,"Cafe, Italian, Chinese",4.4,700,863,New Delhi,kaggle,Mid (₹300-700),Cafe
Starbucks Coffee,Connaught Place,"Cafe, Desserts",4.3,700,3309,New Delhi,kaggle,Mid (₹300-700),Cafe
The Big Chill,Khan Market,Cafe,4.5,1500,6323,New Delhi,kaggle,Premium (₹700-1500),Cafe
Indus Flavour,Delhi University-Gtb Nagar,"North Indian, Chinese, Cafe, Momos",4.3,900,2159,New Delhi,kaggle,Premium (₹700-1500),North Indian
Triveni Terrace Cafe,Mandi House,"Cafe, North Indian, Kebab",4.2,400,1809,New Delhi,kaggle,Mid (₹300-700),Cafe
Jugmug Thela,Champa Gali,Cafe,4.0,600,1057,New Delhi,kaggle,Mid (₹300-700),Cafe
The Hudson Cafe,Delhi University-Gtb Nagar,"Cafe, Italian, Continental, Chinese, Beverages",4.2,900,3172,New Delhi,kaggle,Premium (₹700-1500),Cafe
Cafe Tesu,Essex Farms,"Cafe, Mediterranean, Sushi",4.2,1400,976,New Delhi,kaggle,Premium (₹700-1500),Cafe
Scooter On The Wall,Sda Market,"Cafe, American, Italian",4.1,1000,1624,New Delhi,kaggle,Premium (₹700-1500),Cafe
Soho Bistro & Cafe,Saket,"Cafe, Continental, European",4.3,1400,1091,New Delhi,kaggle,Premium (₹700-1500),Cafe
Coffee Bond,M Block Market,"Cafe, Italian, Continental, Healthy Food, Pizza, Coffee",4.4,800,972,New Delhi,kaggle,Premium (₹700-1500),Cafe
The Coffee Bean & Tea Leaf,Select Citywalk Mall,Cafe,4.0,700,929,New Delhi,kaggle,Mid (₹300-700),Cafe
The Potbelly,Chanakyapuri,"North Indian, Bihari, Fast Food",4.2,1000,1086,New Delhi,kaggle,Premium (₹700-1500),North Indian
Sambookas,Delhi University-Gtb Nagar,"Cafe, Continental, Italian",4.3,800,1051,New Delhi,kaggle,Premium (₹700-1500),Cafe
Ghar Reloaded,Rajouri Garden,"Cafe, Chinese, Mughlai, Kebab, North Indian",4.1,1000,1505,New Delhi,kaggle,Premium (₹700-1500),Cafe
Smoke House Deli,Dlf Promenade Mall,"European, Italian, Cafe, Salad, Juices, Burger, Healthy Food, American",4.1,1600,1503,New Delhi,kaggle,Luxury (>₹1500),European
Blue Tokai Coffee Roasters,Champa Gali,"Cafe, Coffee",4.1,900,1245,New Delhi,kaggle,Premium (₹700-1500),Cafe
Getafix,Greater Kailash 1 (Gk1),"American, Italian, Healthy Food, Juices, Cafe",4.2,1500,1308,New Delhi,kaggle,Premium (₹700-1500),American
Roots - Cafe In The Park,Sector 29,"Cafe, North Indian",4.2,750,2680,Gurgaon,kaggle,Premium (₹700-1500),Cafe
Hippie Bus World's Street Food,Anand Vihar,Cafe,4.4,700,853,New Delhi,kaggle,Mid (₹300-700),Cafe
Cafe Delhi Heights,Dlf Mall Of India,"Asian, Modern Indian, Continental, Cafe",4.1,2000,1609,Noida,kaggle,Luxury (>₹1500),Asian
The Blue Door Cafe,Khan Market,"Italian, European, Cafe, Salad",3.9,1700,1049,New Delhi,kaggle,Luxury (>₹1500),Italian
Chaayos,Connaught Place,"Cafe, Fast Food, Beverages",4.1,500,1228,New Delhi,kaggle,Mid (₹300-700),Cafe
CafÃ© Dori,Chhatarpur,"Cafe, European, Continental",4.2,1100,839,New Delhi,kaggle,Premium (₹700-1500),Cafe
Big Yellow Door,Vijay Nagar,"Cafe, Italian, Fast Food",4.2,700,4627,New Delhi,kaggle,Mid (₹300-700),Cafe
Mocha Arthouse,Dlf Promenade Mall,"Cafe, Italian, Continental",4.0,1400,1355,New Delhi,kaggle,Premium (₹700-1500),Cafe
